#myanmar	DCLstandard	OBI
ကြွက်	krvak·	krvakʻ
က္လောင်	kloṅ·	kloṅʻ
တင့်	taṅ·.	taṅɂʻ
အဥ	°a°u	ʔaʔu
ဪ	°au	ʔau
ဩင်	°oṅ·	ʔoṅʻ
အောင်	'oṅ·	ʔoṅʻ
အိပ်	'ip·	ʔipʻ
ဣပ်	°ip·	ʔipʻ
အန်	°an·	ʔanʻ
အုန်း	'un·ḥ	ʔunʻḥ
အိုင်	'uiṅ·	ʔuiṅʻ
အံ့	°aṁ.	ʔaṃɂ
အား	°āḥ	ʔāḥ
အဲ	°ai	ʔai
အိ	'i	ʔi
တံ	taṁ	taṃ
သုံမ်	suṁm·	suṃmʻ
ရုယ္အ်	ruy'·	ruyʔʻ
စိယ္သ်	ciys·	ciysʻ
ဧအ်	°e°a·	ʔeʔʻ
အဖေိအ်	°aphei°a·	ʔapheiʔʻ
ဓား	dhāḥ	dhāḥ 
ဖ္လစ်း	phlac·ḥ	phlacʻḥ
မ္လိးယ်	mliḥy·	mliḥyʻ
လေး	leḥ	leḥ 
စခန်း	ca khan·ḥ	cakhanʻḥ
အမတ်	°amat·	ʔamatʻ
ဧည့်	°eññ·.	ʔeññɂʻ
မ္လျက်	mlyak·	mlyakʻ
ရှဝ်	rhav·	rhavʻ
အဘယံ	°abhayaṁ	ʔabhayaṃ
မြိက္ကသိုရ်	mrikkasuir·	mrikkasuirʻ

